,open,close,high,low,volume,money
2005-01-04,3.33,3.33,3.38,3.31,6205383.0,20728330.0
2005-01-05,3.33,3.38,3.42,3.31,3835495.0,12969407.0
2005-01-06,3.39,3.39,3.43,3.38,8549882.0,29118085.0
2005-01-07,3.39,3.45,3.47,3.39,10584134.0,36353317.0
2005-01-10,3.45,3.47,3.49,3.43,4597541.0,15893640.0
2005-01-11,3.47,3.45,3.47,3.42,5313046.0,18314374.0
2005-01-12,3.43,3.45,3.46,3.41,3265285.0,11190468.0
2005-01-13,3.43,3.44,3.47,3.42,1664729.0,5729012.0
2005-01-14,3.43,3.4,3.47,3.4,2584945.0,8887312.0
2005-01-17,3.37,3.34,3.39,3.31,4762869.0,15955164.0
2005-01-18,3.33,3.3,3.36,3.24,8714899.0,28606583.0
2005-01-19,3.3,3.24,3.31,3.22,5495038.0,17948317.0
2005-01-20,3.23,3.23,3.26,3.19,4937863.0,15900774.0
2005-01-21,3.23,3.32,3.37,3.2,10968044.0,36180199.0
2005-01-24,3.42,3.36,3.43,3.33,6418918.0,21654891.0
2005-01-25,3.36,3.43,3.43,3.32,9522226.0,32222707.0
2005-01-26,3.42,3.39,3.44,3.37,5070433.0,17242804.0
2005-01-27,3.35,3.31,3.38,3.29,5947895.0,19766133.0
2005-01-28,3.31,3.27,3.31,3.25,4198024.0,13733939.0
2005-01-31,3.26,3.28,3.3,3.24,3327138.0,10874644.0
2005-02-01,3.27,3.31,3.33,3.26,3270117.0,10824591.0
2005-02-02,3.31,3.43,3.47,3.3,14469246.0,49109493.0
2005-02-03,3.43,3.39,3.47,3.38,8983609.0,30750619.0
2005-02-04,3.39,3.49,3.51,3.38,14213583.0,49395861.0
2005-02-16,3.51,3.46,3.53,3.45,7977058.0,27836447.0
2005-02-17,3.46,3.45,3.46,3.39,3519782.0,12067508.0
2005-02-18,3.45,3.44,3.45,3.41,2862808.0,9816138.0
2005-02-21,3.44,3.49,3.5,3.43,5236277.0,18204425.0
2005-02-22,3.5,3.53,3.54,3.45,11298299.0,39567770.0
2005-02-23,3.53,3.47,3.54,3.45,11411976.0,39777814.0
2005-02-24,3.46,3.47,3.48,3.44,5139991.0,17748703.0
2005-02-25,3.47,3.49,3.53,3.45,10529167.0,36737541.0
2005-02-28,3.49,3.43,3.49,3.42,6295723.0,21682781.0
2005-03-01,3.41,3.44,3.46,3.41,4357791.0,14961370.0
2005-03-02,3.44,3.4,3.49,3.39,6103433.0,20929129.0
2005-03-03,3.4,3.41,3.41,3.36,4292924.0,14528115.0
2005-03-04,3.4,3.35,3.42,3.35,6258630.0,21126139.0
2005-03-07,3.35,3.35,3.38,3.32,8600564.0,28769521.0
2005-03-08,3.36,3.42,3.42,3.35,12746181.0,43175531.0
2005-03-09,3.42,3.44,3.46,3.41,10460077.0,35930937.0
2005-03-10,3.44,3.35,3.45,3.34,9162005.0,31030860.0
2005-03-11,3.34,3.35,3.38,3.33,7945236.0,26579512.0
2005-03-14,3.35,3.41,3.45,3.31,11879685.0,40057392.0
2005-03-15,3.41,3.34,3.41,3.31,7408863.0,24905603.0
2005-03-16,3.33,3.28,3.35,3.26,6616974.0,21895135.0
2005-03-17,3.28,3.26,3.3,3.24,5625160.0,18371893.0
2005-03-18,3.26,3.29,3.31,3.26,4738050.0,15558823.0
2005-03-21,3.28,3.33,3.35,3.27,4411243.0,14635600.0
2005-03-22,3.33,3.28,3.33,3.24,5046506.0,16548770.0
2005-03-23,3.27,3.08,3.32,3.07,30154072.0,96792897.0
2005-03-24,3.05,3.02,3.05,2.92,33375139.0,99539519.0
2005-03-25,2.99,3.0,3.04,2.99,9074204.0,27345858.0
2005-03-28,3.0,2.99,3.0,2.93,7389713.0,21919190.0
2005-03-29,2.99,2.96,3.05,2.95,14553463.0,43585411.0
2005-03-30,2.96,2.88,2.96,2.87,10364853.0,30136814.0
2005-03-31,2.87,2.93,2.94,2.85,8264379.0,24013299.0
2005-04-01,2.91,3.03,3.12,2.89,13685272.0,40895707.0
2005-04-04,3.0,2.88,3.0,2.87,15312110.0,44796436.0
2005-04-05,2.88,2.8,2.9,2.78,20303050.0,57238886.0
2005-04-06,2.78,2.89,2.92,2.78,15231063.0,43536475.0
2005-04-07,2.89,2.95,3.03,2.89,23365521.0,69442321.0
2005-04-08,2.98,3.0,3.03,2.93,15878659.0,47211709.0
2005-04-11,3.0,3.01,3.04,2.96,12884449.0,38609642.0
2005-04-12,3.0,2.96,3.02,2.96,10189007.0,30520581.0
2005-04-13,2.99,3.01,3.08,2.99,13702004.0,41490682.0
2005-04-14,3.04,2.99,3.04,2.98,7385857.0,22286598.0
2005-04-15,2.97,2.92,2.97,2.9,8968988.0,26252780.0
2005-04-18,2.88,2.9,2.94,2.87,5550817.0,16153475.0
2005-04-19,2.9,2.93,2.93,2.89,4672156.0,13595467.0
2005-04-20,2.92,2.86,2.93,2.86,6769799.0,19449925.0
