,open,close,high,low,volume,money
2012-05-28,2.243,2.318,2.318,2.243,457580493.0,1037835048.7
2012-05-29,2.311,2.344,2.354,2.3,389659429.0,906887913.29
2012-05-30,2.34,2.335,2.344,2.328,280253297.0,654616413.81
2012-05-31,2.325,2.33,2.344,2.316,245904632.0,573000922.62
2012-06-01,2.333,2.335,2.356,2.318,226303180.0,530106185.24
2012-06-04,2.307,2.267,2.309,2.262,167980856.0,383758564.02
2012-06-05,2.269,2.269,2.281,2.262,88542506.0,201017246.52
2012-06-06,2.271,2.264,2.281,2.257,76331143.0,173265290.34
2012-06-07,2.283,2.252,2.288,2.248,59907768.0,135994330.33
2012-06-08,2.267,2.245,2.269,2.243,76647660.0,172665966.63
2012-06-11,2.252,2.276,2.285,2.248,71102173.0,161155481.82
2012-06-12,2.264,2.257,2.271,2.252,54735270.0,123667890.35
2012-06-13,2.264,2.292,2.295,2.259,73765582.0,168169043.66
2012-06-14,2.288,2.281,2.302,2.276,43973202.0,100668155.73
2012-06-15,2.285,2.288,2.297,2.264,50771429.0,115863863.82
2012-06-18,2.295,2.3,2.311,2.292,44630634.0,102665209.99
2012-06-19,2.297,2.283,2.297,2.281,43413664.0,99325116.7
2012-06-20,2.288,2.281,2.297,2.278,51401769.0,117470116.51
2012-06-21,2.276,2.25,2.276,2.233,82845794.0,186405610.47
2012-06-25,2.243,2.203,2.243,2.198,153373356.0,340486903.21
2012-06-26,2.193,2.2,2.205,2.186,78378490.0,172067382.37
2012-06-27,2.198,2.193,2.212,2.189,50357816.0,110728407.33
2012-06-28,2.196,2.179,2.203,2.179,52971010.0,115961113.43
2012-06-29,2.175,2.205,2.208,2.172,74388696.0,163125882.48
2012-07-02,2.217,2.205,2.217,2.198,64273132.0,141858012.42
2012-07-03,2.208,2.21,2.233,2.203,43956971.0,97423672.61
2012-07-04,2.212,2.212,2.224,2.203,53214525.0,117714492.3
2012-07-05,2.203,2.184,2.203,2.175,99941372.0,218136528.32
2012-07-06,2.189,2.219,2.229,2.177,97160981.0,213603659.75
2012-07-09,2.21,2.177,2.217,2.175,53133727.0,116563977.47
2012-07-10,2.175,2.167,2.179,2.163,67471255.0,146306706.72
2012-07-11,2.163,2.179,2.182,2.16,64815451.0,140696557.79
2012-07-12,2.175,2.191,2.208,2.16,101005552.0,220699365.82
2012-07-13,2.193,2.2,2.215,2.191,82179101.0,180812359.45
2012-07-16,2.205,2.165,2.208,2.16,59879262.0,130270795.34
2012-07-17,2.163,2.172,2.175,2.16,61505119.0,133259596.35
2012-07-18,2.17,2.167,2.177,2.137,111492628.0,240677353.14
2012-07-19,2.165,2.179,2.196,2.158,67875588.0,148210835.83
2012-07-20,2.172,2.158,2.175,2.156,85474483.0,185112780.5
2012-07-23,2.146,2.127,2.146,2.123,69818954.0,148704174.88
2012-07-24,2.123,2.134,2.149,2.12,84890179.0,181144254.21
2012-07-25,2.13,2.123,2.142,2.12,55124698.0,117388858.38
2012-07-26,2.125,2.116,2.134,2.111,66323438.0,140877547.85
2012-07-27,2.123,2.116,2.127,2.108,74296296.0,157325071.32
2012-07-30,2.118,2.108,2.127,2.104,54348370.0,115099096.54
2012-07-31,2.108,2.106,2.116,2.101,78430267.0,165349023.96
2012-08-01,2.108,2.118,2.13,2.106,61646739.0,130615151.06
2012-08-02,2.116,2.101,2.12,2.094,76235098.0,160587615.24
2012-08-03,2.106,2.116,2.116,2.099,49732791.0,104803447.95
2012-08-06,2.113,2.142,2.146,2.111,74182933.0,158061387.18
2012-08-07,2.144,2.142,2.146,2.139,66407695.0,142345196.72
2012-08-08,2.146,2.144,2.16,2.142,70663295.0,151970610.23
2012-08-09,2.144,2.167,2.17,2.139,74901714.0,161484120.93
2012-08-10,2.167,2.16,2.17,2.158,43205859.0,93525896.14
2012-08-13,2.156,2.123,2.156,2.12,75693300.0,161751303.71
2012-08-14,2.123,2.123,2.125,2.092,94801878.0,199828997.06
2012-08-15,2.116,2.101,2.116,2.097,67020056.0,141010842.68
2012-08-16,2.099,2.092,2.104,2.09,88581377.0,185635181.89
2012-08-17,2.094,2.083,2.094,2.068,124446782.0,258703258.34
2012-08-20,2.068,2.068,2.078,2.028,87549066.0,180241621.82
2012-08-21,2.066,2.08,2.099,2.066,71082161.0,148102390.22
2012-08-22,2.083,2.064,2.083,2.059,49899809.0,103242755.15
2012-08-23,2.066,2.073,2.083,2.059,58114935.0,120331509.28
2012-08-24,2.068,2.052,2.068,2.05,49467719.0,101745401.79
2012-08-27,2.045,2.009,2.045,2.009,90731936.0,183458386.23
2012-08-28,2.005,2.012,2.024,2.0,70472611.0,141792587.5
2012-08-29,2.002,1.995,2.014,1.991,80399129.0,160841440.79
2012-08-30,1.991,1.983,1.998,1.972,107704360.0,213999832.55
2012-08-31,1.981,1.986,1.993,1.981,68395783.0,135926481.27
2012-09-03,1.979,2.002,2.007,1.974,97026692.0,193714424.54
