,open,close,high,low,volume,money
2005-01-04,0.84,0.83,0.84,0.82,31512001.0,26134943.0
2005-01-05,0.83,0.82,0.83,0.81,43229333.0,35366812.0
2005-01-06,0.82,0.81,0.83,0.8,35558905.0,28758188.0
2005-01-07,0.81,0.81,0.82,0.8,36094716.0,29239203.0
2005-01-10,0.82,0.84,0.84,0.81,58865757.0,48798404.0
2005-01-11,0.84,0.85,0.85,0.83,57044956.0,48039155.0
2005-01-12,0.85,0.84,0.85,0.84,23143772.0,19447653.0
2005-01-13,0.84,0.84,0.85,0.84,10629592.0,8976785.0
2005-01-14,0.84,0.84,0.86,0.83,14321255.0,12108769.0
2005-01-17,0.83,0.82,0.84,0.82,21682101.0,17915004.0
2005-01-18,0.82,0.83,0.83,0.81,13202408.0,10850994.0
2005-01-19,0.83,0.82,0.83,0.82,8516319.0,7012405.0
2005-01-20,0.82,0.81,0.82,0.8,17461171.0,14179068.0
2005-01-21,0.81,0.89,0.89,0.81,342291538.0,301114578.0
2005-01-24,0.93,0.92,0.94,0.9,386777400.0,354408749.0
2005-01-25,0.91,0.9,0.91,0.89,221681929.0,199832479.0
2005-01-26,0.9,0.9,0.92,0.89,134280130.0,121820602.0
2005-01-27,0.89,0.88,0.91,0.88,89416126.0,79769208.0
2005-01-28,0.88,0.9,0.9,0.87,86133141.0,76324984.0
2005-01-31,0.89,0.89,0.9,0.88,63393895.0,56486895.0
2005-02-01,0.89,0.91,0.91,0.88,94527150.0,85592035.0
2005-02-02,0.91,0.95,0.96,0.9,197787797.0,185036797.0
2005-02-03,0.95,0.93,0.95,0.92,113980318.0,107341372.0
2005-02-04,0.93,0.98,1.0,0.92,199965816.0,193803658.0
2005-02-16,0.99,0.97,1.0,0.97,105223507.0,103754859.0
2005-02-17,0.97,0.95,0.97,0.94,95698912.0,91256499.0
2005-02-18,0.95,0.94,0.96,0.94,66945740.0,63433347.0
2005-02-21,0.96,0.98,0.98,0.95,139294936.0,135085473.0
2005-02-22,0.98,0.98,0.99,0.97,85244520.0,83261350.0
2005-02-23,0.98,0.96,0.98,0.95,127189171.0,122679639.0
2005-02-24,0.95,0.95,0.97,0.95,84278371.0,80685429.0
2005-02-25,0.96,0.96,0.98,0.95,94921490.0,92202704.0
2005-02-28,0.96,0.94,0.96,0.93,144266698.0,134889710.0
2005-03-01,0.94,0.92,0.94,0.92,90374506.0,83419920.0
2005-03-02,0.92,0.92,0.93,0.91,72940620.0,67194470.0
2005-03-03,0.92,0.93,0.94,0.92,51958562.0,48212865.0
2005-03-04,0.93,0.93,0.94,0.92,42042505.0,38936484.0
2005-03-07,0.92,0.92,0.93,0.92,23331324.0,21550382.0
2005-03-08,0.93,0.94,0.94,0.91,108646332.0,100581889.0
2005-03-09,0.94,0.92,0.94,0.91,109081873.0,100633602.0
2005-03-10,0.92,0.9,0.93,0.89,68894014.0,62900907.0
2005-03-11,0.9,0.9,0.91,0.89,48463495.0,43556308.0
2005-03-14,0.9,0.89,0.9,0.88,58558094.0,52037534.0
2005-03-15,0.89,0.87,0.89,0.86,63483700.0,55396382.0
2005-03-16,0.87,0.87,0.87,0.86,42601275.0,36970616.0
2005-03-17,0.87,0.86,0.88,0.86,52874608.0,46011353.0
2005-03-18,0.86,0.87,0.88,0.86,44048385.0,38311019.0
2005-03-21,0.87,0.88,0.88,0.87,29482369.0,25778043.0
2005-03-22,0.88,0.83,0.88,0.83,74001911.0,62292167.0
2005-03-23,0.83,0.84,0.85,0.82,61341511.0,51033624.0
2005-03-24,0.84,0.84,0.84,0.82,29333088.0,24397976.0
2005-03-25,0.84,0.83,0.84,0.82,24829389.0,20615658.0
2005-03-28,0.83,0.83,0.83,0.82,24319282.0,20095113.0
2005-03-29,0.83,0.84,0.85,0.83,28147319.0,23714038.0
2005-03-30,0.84,0.82,0.84,0.81,35503028.0,29186661.0
2005-03-31,0.81,0.84,0.84,0.81,32523429.0,26732458.0
