,open,close,high,low,volume,money
2005-01-04,0.5,0.51,0.51,0.49,2372557.0,1191632.0
2005-01-05,0.51,0.51,0.52,0.5,2429389.0,1238548.0
2005-01-06,0.52,0.51,0.52,0.51,2133095.0,1089231.0
2005-01-07,0.51,0.56,0.56,0.51,19884009.0,11011839.0
2005-01-10,0.59,0.59,0.61,0.57,103055332.0,60591483.0
2005-01-11,0.59,0.6,0.62,0.59,71671364.0,43220577.0
2005-01-12,0.6,0.59,0.6,0.58,32387701.0,18916761.0
2005-01-13,0.59,0.6,0.61,0.58,58641481.0,35015061.0
2005-01-14,0.6,0.58,0.6,0.58,30803123.0,18105127.0
2005-01-17,0.57,0.58,0.59,0.56,26281315.0,15201284.0
2005-01-18,0.58,0.59,0.59,0.57,23379776.0,13593592.0
2005-01-19,0.59,0.57,0.59,0.56,18667141.0,10679892.0
2005-01-20,0.58,0.58,0.6,0.57,31593354.0,18438221.0
2005-01-21,0.58,0.55,0.58,0.52,28190823.0,15623081.0
2005-01-24,0.57,0.58,0.59,0.56,27147176.0,15639800.0
2005-01-25,0.57,0.6,0.6,0.56,45687784.0,26837051.0
2005-01-26,0.6,0.59,0.6,0.58,19911014.0,11697281.0
2005-01-27,0.58,0.56,0.59,0.56,16688388.0,9553615.0
2005-01-28,0.56,0.53,0.57,0.53,20008440.0,10903923.0
2005-01-31,0.53,0.54,0.55,0.53,10998925.0,5932361.0
2005-02-01,0.53,0.5,0.54,0.5,15238682.0,7914295.0
2005-02-02,0.5,0.54,0.54,0.5,11985499.0,6284180.0
2005-02-03,0.53,0.53,0.56,0.52,17167526.0,9286911.0
2005-02-04,0.54,0.55,0.56,0.53,14516223.0,7996310.0
2005-02-16,0.56,0.55,0.57,0.55,8941991.0,4992044.0
2005-02-17,0.55,0.55,0.56,0.54,6036933.0,3319338.0
2005-02-18,0.55,0.54,0.56,0.54,6199679.0,3394908.0
2005-02-21,0.54,0.55,0.56,0.54,5193322.0,2858205.0
2005-02-22,0.56,0.57,0.58,0.55,18742680.0,10622889.0
2005-02-23,0.57,0.58,0.59,0.56,20469120.0,11851826.0
2005-02-24,0.57,0.58,0.58,0.57,12243038.0,7036801.0
2005-02-25,0.58,0.57,0.59,0.57,13323634.0,7727660.0
2005-02-28,0.57,0.57,0.58,0.57,7988608.0,4573605.0
2005-03-01,0.57,0.57,0.58,0.56,9470352.0,5419159.0
2005-03-02,0.57,0.55,0.58,0.55,13036176.0,7317683.0
2005-03-03,0.55,0.56,0.56,0.54,4756690.0,2633110.0
2005-03-04,0.56,0.57,0.57,0.55,13577199.0,7641077.0
2005-03-07,0.57,0.57,0.57,0.56,6915729.0,3936591.0
2005-03-08,0.57,0.57,0.58,0.57,8093710.0,4617533.0
2005-03-09,0.57,0.58,0.59,0.57,14193670.0,8289804.0
2005-03-10,0.58,0.56,0.58,0.55,11250817.0,6352173.0
2005-03-11,0.55,0.55,0.56,0.54,7499093.0,4133434.0
2005-03-14,0.55,0.55,0.56,0.54,7628326.0,4168453.0
2005-03-15,0.55,0.53,0.55,0.53,8283875.0,4417549.0
2005-03-16,0.53,0.53,0.53,0.52,3742491.0,1971781.0
2005-03-17,0.52,0.51,0.52,0.5,8928890.0,4544965.0
2005-03-18,0.5,0.51,0.51,0.5,5997060.0,3025997.0
2005-03-21,0.51,0.48,0.51,0.48,7439171.0,3675259.0
2005-03-22,0.48,0.47,0.49,0.44,9240115.0,4252286.0
2005-03-23,0.47,0.47,0.48,0.47,4822102.0,2273794.0
2005-03-24,0.47,0.48,0.49,0.47,4342035.0,2084019.0
2005-03-25,0.49,0.49,0.49,0.48,3534671.0,1707759.0
2005-03-28,0.49,0.48,0.49,0.47,3138798.0,1492115.0
2005-03-29,0.47,0.48,0.48,0.47,1298792.0,621274.0
2005-03-30,0.47,0.48,0.5,0.46,9086370.0,4389061.0
2005-03-31,0.47,0.5,0.5,0.47,8882368.0,4350896.0
2005-04-01,0.49,0.5,0.51,0.49,10443279.0,5201349.0
2005-04-04,0.5,0.49,0.5,0.49,5817511.0,2859524.0
2005-04-05,0.5,0.5,0.51,0.49,9796971.0,4943857.0
2005-04-06,0.5,0.49,0.51,0.49,6989944.0,3449481.0
2005-04-07,0.49,0.51,0.53,0.49,15623153.0,7973944.0
2005-04-08,0.51,0.53,0.54,0.51,17616108.0,9279043.0
2005-04-11,0.53,0.52,0.53,0.51,8535717.0,4463116.0
2005-04-12,0.52,0.53,0.55,0.52,16077233.0,8613380.0
2005-04-13,0.53,0.54,0.54,0.53,10449771.0,5614779.0
2005-04-14,0.54,0.53,0.55,0.53,10657947.0,5720175.0
2005-04-15,0.55,0.52,0.55,0.51,8962561.0,4754477.0
2005-04-18,0.52,0.5,0.52,0.5,6668185.0,3338830.0
2005-04-19,0.5,0.51,0.51,0.5,3251659.0,1636599.0
2005-04-20,0.51,0.49,0.51,0.49,5875371.0,2908670.0
2005-04-21,0.49,0.48,0.49,0.47,7041601.0,3378330.0
2005-04-22,0.48,0.49,0.5,0.47,5360657.0,2608642.0
2005-04-25,0.49,0.49,0.49,0.47,5637598.0,2697430.0
2005-04-26,0.49,0.5,0.5,0.48,5609360.0,2765315.0
2005-04-27,0.5,0.5,0.51,0.5,3762307.0,1886741.0
2005-04-28,0.5,0.52,0.53,0.48,10156623.0,5182857.0
2005-04-29,0.52,0.52,0.53,0.5,8291187.0,4291676.0
2005-05-09,0.51,0.49,0.52,0.49,4711641.0,2352802.0
2005-05-10,0.49,0.5,0.51,0.48,4974381.0,2461888.0
2005-05-11,0.5,0.52,0.52,0.5,9994109.0,5167021.0
2005-05-12,0.51,0.51,0.52,0.5,4387689.0,2229895.0
2005-05-13,0.51,0.49,0.52,0.47,8780023.0,4341089.0
2005-05-16,0.48,0.48,0.48,0.47,6200599.0,2954304.0
2005-05-17,0.48,0.49,0.5,0.48,5145177.0,2525455.0
2005-05-19,0.49,0.5,0.5,0.49,5489385.0,2729451.0
2005-05-20,0.51,0.5,0.51,0.5,5599307.0,2812504.0
